time,BTC,DBC - commodities,GLD - gold,IEF - intermediate bonds,SPY - stocks,SVXY,TLT - long term bonds
2014-09-17,457.3340148925781,20.273595809936523,117.54000091552734,79.56053924560547,164.5675506591797,85.94999694824219,82.25606536865234
2014-09-18,424.44000244140625,20.079143524169922,117.77999877929688,79.50628662109375,165.4446563720703,87.19000244140625,82.51863098144531
2014-09-19,394.7959899902344,20.019962310791016,117.08999633789062,79.80863189697266,165.29559326171875,87.13999938964844,83.56869506835938
2014-09-22,402.1520080566406,19.850873947143555,116.8499984741211,79.97915649414062,164.01901245117188,84.12000274658203,83.6707534790039
2014-09-23,435.7909851074219,19.850873947143555,117.5999984741211,80.14971923828125,163.08013916015625,81.0,84.18852996826172
2014-09-24,423.2049865722656,19.93541717529297,117.05000305175781,79.92488861083984,164.35671997070312,83.5199966430664,83.72184753417969
2014-09-25,411.5740051269531,19.893146514892578,117.38999938964844,80.31253814697266,161.7047119140625,77.25,84.71356201171875
2014-09-26,404.42498779296875,19.859329223632812,117.05999755859375,80.14195251464844,162.98951721191406,79.9000015258789,84.589599609375
2014-09-29,375.4670104980469,19.977689743041992,117.02999877929688,80.39783477783203,162.69302368164062,76.08000183105469,85.26776885986328
2014-09-30,386.9440002441406,19.631059646606445,116.20999908447266,80.3280029296875,162.26478576660156,74.94000244140625,84.78646087646484
2014-10-01,383.614990234375,19.563425064086914,116.7699966430664,81.00293731689453,160.06576538085938,73.37999725341797,86.43060302734375
2014-10-02,375.0719909667969,19.487335205078125,116.73999786376953,80.76216125488281,160.09046936035156,73.94000244140625,85.67762756347656
2014-10-03,359.5119934082031,19.301340103149414,114.61000061035156,80.73882293701172,161.8529510498047,78.41999816894531,86.04312896728516
2014-10-06,330.0790100097656,19.54651641845703,116.02999877929688,80.87091064453125,161.66351318359375,77.05000305175781,86.09432220458984
2014-10-07,336.18701171875,19.470430374145508,116.36000061035156,81.3446273803711,159.1680450439453,71.62000274658203,87.25668334960938
2014-10-08,352.94000244140625,19.394338607788086,117.47000122070312,81.6319808959961,161.95175170898438,77.44000244140625,87.27859497070312
2014-10-09,365.0260009765625,19.16607093811035,117.63999938964844,81.4922103881836,158.73976135253906,70.23999786376953,86.89845275878906
2014-10-10,361.56201171875,19.098438262939453,117.58999633789062,81.81059265136719,156.92788696289062,62.459999084472656,87.76103973388672
2014-10-13,390.41400146484375,19.098438262939453,118.5199966430664,82.2377700805664,154.35003662109375,56.349998474121094,88.29466247558594
2014-10-14,400.8699951171875,18.810985565185547,118.58999633789062,82.40086364746094,154.58885192871094,56.709999084472656,88.87223815917969
2014-10-15,394.77301025390625,18.574262619018555,118.98999786376953,82.86683654785156,153.54287719726562,55.59000015258789,89.57405853271484
2014-10-16,382.5559997558594,18.7602596282959,119.22000122070312,82.64163208007812,153.41111755371094,53.2599983215332,89.00383758544922
2014-10-17,383.75799560546875,18.827896118164062,118.98999786376953,82.40086364746094,155.22303771972656,55.5099983215332,88.50674438476562
2014-10-20,382.8450012207031,18.692625045776367,119.80000305175781,82.51737213134766,156.730224609375,59.79999923706055,88.82841491699219
2014-10-21,386.4750061035156,18.844806671142578,120.0199966430664,82.2921371459961,159.8351287841797,64.2300033569336,88.11930084228516
2014-10-22,383.1579895019531,18.633445739746094,119.33999633789062,82.26881408691406,158.6986083984375,59.040000915527344,88.21428680419922
