location,name,freq,weighting,n_countries,date,ret
developed,accruals,monthly,vw_cap,18,1992-07-31,0.00296582427996116
developed,accruals,monthly,vw_cap,18,1992-08-31,-0.00151561812280501
developed,accruals,monthly,vw_cap,18,1992-09-30,0.0078987002080483
developed,accruals,monthly,vw_cap,18,1992-10-31,-0.000228437964478864
developed,accruals,monthly,vw_cap,18,1992-11-30,0.00478015052140052
developed,accruals,monthly,vw_cap,19,1992-12-31,0.00298604353308195
developed,accruals,monthly,vw_cap,19,1993-01-31,0.00466296241953731
developed,accruals,monthly,vw_cap,19,1993-02-28,-0.00401109119881649
developed,accruals,monthly,vw_cap,19,1993-03-31,-0.00240767346817215
developed,accruals,monthly,vw_cap,18,1993-04-30,-0.00126087934061855
developed,accruals,monthly,vw_cap,19,1993-05-31,0.00186421595873641
developed,accruals,monthly,vw_cap,19,1993-06-30,0.00837333291756834
developed,accruals,monthly,vw_cap,19,1993-07-31,0.00578941514200472
developed,accruals,monthly,vw_cap,19,1993-08-31,-0.00466410881410892
developed,accruals,monthly,vw_cap,19,1993-09-30,0.00581415942258288
developed,accruals,monthly,vw_cap,19,1993-10-31,0.00241897675447586
developed,accruals,monthly,vw_cap,19,1993-11-30,0.00648735316476021
developed,accruals,monthly,vw_cap,20,1993-12-31,0.00325430702890964
developed,accruals,monthly,vw_cap,19,1994-01-31,0.00624700279752922
developed,accruals,monthly,vw_cap,20,1994-02-28,0.00211934122872988
developed,accruals,monthly,vw_cap,20,1994-03-31,0.00470486409987339
developed,accruals,monthly,vw_cap,20,1994-04-30,0.00579975203855363
developed,accruals,monthly,vw_cap,20,1994-05-31,-0.000748395108251366
developed,accruals,monthly,vw_cap,19,1994-06-30,0.00222392520364969
developed,accruals,monthly,vw_cap,19,1994-07-31,-0.00140163018931458
developed,accruals,monthly,vw_cap,19,1994-08-31,0.00304097668656152
developed,accruals,monthly,vw_cap,19,1994-09-30,-0.00140375915662975
developed,accruals,monthly,vw_cap,20,1994-10-31,0.0072104589428359
developed,accruals,monthly,vw_cap,20,1994-11-30,-0.000381128103949691
developed,accruals,monthly,vw_cap,19,1994-12-31,0.000293054078341087
developed,accruals,monthly,vw_cap,19,1995-01-31,0.00153055603287068
developed,accruals,monthly,vw_cap,19,1995-02-28,-0.00102840907095713
developed,accruals,monthly,vw_cap,19,1995-03-31,-0.000439907456570556
developed,accruals,monthly,vw_cap,19,1995-04-30,-0.00207224697594384
developed,accruals,monthly,vw_cap,19,1995-05-31,-0.0017071119121815
developed,accruals,monthly,vw_cap,19,1995-06-30,0.00223598079674834
developed,accruals,monthly,vw_cap,19,1995-07-31,0.00295610232241502
developed,accruals,monthly,vw_cap,19,1995-08-31,0.00183192300219588
developed,accruals,monthly,vw_cap,19,1995-09-30,-0.000692532611629008
developed,accruals,monthly,vw_cap,19,1995-10-31,-0.000736084937927604
developed,accruals,monthly,vw_cap,19,1995-11-30,0.00549973103053746
developed,accruals,monthly,vw_cap,19,1995-12-31,0.00470808573162163
developed,accruals,monthly,vw_cap,19,1996-01-31,0.00126874575945151
developed,accruals,monthly,vw_cap,19,1996-02-29,-0.000415333355378337
developed,accruals,monthly,vw_cap,19,1996-03-31,-0.000132275613210414
developed,accruals,monthly,vw_cap,19,1996-04-30,0.00149410679427836
developed,accruals,monthly,vw_cap,19,1996-05-31,-0.000466819400516382
developed,accruals,monthly,vw_cap,19,1996-06-30,0.00392222040922226
developed,accruals,monthly,vw_cap,19,1996-07-31,-0.000390988489029944
developed,accruals,monthly,vw_cap,20,1996-08-31,-0.00368710279853668
developed,accruals,monthly,vw_cap,19,1996-09-30,-0.00158385251187569
developed,accruals,monthly,vw_cap,20,1996-10-31,0.000690612346530487
developed,accruals,monthly,vw_cap,20,1996-11-30,-0.00249693576911466
developed,accruals,monthly,vw_cap,20,1996-12-31,-0.0107922272998879
developed,accruals,monthly,vw_cap,20,1997-01-31,-0.00961961162665052
developed,accruals,monthly,vw_cap,20,1997-02-28,-0.00403237904151603
developed,accruals,monthly,vw_cap,20,1997-03-31,0.00387358864272619
developed,accruals,monthly,vw_cap,20,1997-04-30,-0.00886808040012672
developed,accruals,monthly,vw_cap,21,1997-05-31,-0.00689142269318105
developed,accruals,monthly,vw_cap,21,1997-06-30,-0.00195430286677245
developed,accruals,monthly,vw_cap,21,1997-07-31,-0.00311517670904048
developed,accruals,monthly,vw_cap,21,1997-08-31,0.00687741619606774
developed,accruals,monthly,vw_cap,21,1997-09-30,0.00194855475968136
developed,accruals,monthly,vw_cap,21,1997-10-31,0.00733837196413439
developed,accruals,monthly,vw_cap,21,1997-11-30,0.00298446877696797
developed,accruals,monthly,vw_cap,21,1997-12-31,-0.00725911869492352
developed,accruals,monthly,vw_cap,21,1998-01-31,0.0125819075466776
developed,accruals,monthly,vw_cap,21,1998-02-28,-0.000304308506646177
developed,accruals,monthly,vw_cap,21,1998-03-31,0.00568598568743161
developed,accruals,monthly,vw_cap,21,1998-04-30,0.0000249903741140814
developed,accruals,monthly,vw_cap,22,1998-05-31,0.000840903890884732
developed,accruals,monthly,vw_cap,22,1998-06-30,0.0113723308649218
developed,accruals,monthly,vw_cap,22,1998-07-31,-0.00653071435958732
developed,accruals,monthly,vw_cap,22,1998-08-31,0.00150006048803303
developed,accruals,monthly,vw_cap,22,1998-09-30,0.0132321941085939
developed,accruals,monthly,vw_cap,21,1998-10-31,-0.0053320270760421
developed,accruals,monthly,vw_cap,22,1998-11-30,-0.00820100072252447
developed,accruals,monthly,vw_cap,22,1998-12-31,-0.00744756705041832
developed,accruals,monthly,vw_cap,22,1999-01-31,0.00620448106135278
developed,accruals,monthly,vw_cap,22,1999-02-28,-0.0155363997744303
developed,accruals,monthly,vw_cap,22,1999-03-31,0.0064408028473763
developed,accruals,monthly,vw_cap,22,1999-04-30,0.00145106005077232
developed,accruals,monthly,vw_cap,22,1999-05-31,0.00640651078415305
developed,accruals,monthly,vw_cap,22,1999-06-30,-0.00465676764246012
developed,accruals,monthly,vw_cap,22,1999-07-31,0.00235273360610789
developed,accruals,monthly,vw_cap,22,1999-08-31,-0.00135583728209043
developed,accruals,monthly,vw_cap,22,1999-09-30,0.0000801057931858111
developed,accruals,monthly,vw_cap,22,1999-10-31,-0.00651742984428475
developed,accruals,monthly,vw_cap,22,1999-11-30,-0.00235481081037322
developed,accruals,monthly,vw_cap,22,1999-12-31,-0.00572426578586305
developed,accruals,monthly,vw_cap,22,2000-01-31,-0.0197029844328542
developed,accruals,monthly,vw_cap,22,2000-02-29,-0.0232877999061803
developed,accruals,monthly,vw_cap,22,2000-03-31,0.00655670727708325
developed,accruals,monthly,vw_cap,22,2000-04-30,-0.00637009122139881
developed,accruals,monthly,vw_cap,22,2000-05-31,0.00426429259738038
developed,accruals,monthly,vw_cap,22,2000-06-30,0.00116047515092705
developed,accruals,monthly,vw_cap,22,2000-07-31,-0.0000709380745471989
developed,accruals,monthly,vw_cap,22,2000-08-31,-0.021206965980604
developed,accruals,monthly,vw_cap,22,2000-09-30,0.00703016882030631
