"hk_year","hk_AggressiveAllocation","hk_AsiaFixedIncome","hk_AsiaMoneyMarket","hk_Asiaex-JapanEquity","hk_CautiousAllocation","hk_EuropeEquityLargeCap","hk_GlobalEquityLargeCap","hk_GlobalFixedIncome","hk_GreaterChinaEquity","hk_JapanEquity","hk_KoreaEquity","hk_ModerateAllocation","hk_USEquityLargeCapBlend","cal_AggressiveAllocation","cal_AsiaFixedIncome","cal_AsiaMoneyMarket","cal_Asiaex-JapanEquity","cal_CautiousAllocation","cal_EuropeEquityLargeCap","cal_GlobalEquityLargeCap","cal_GlobalFixedIncome","cal_GreaterChinaEquity","cal_JapanEquity","cal_KoreaEquity","cal_ModerateAllocation","cal_USEquityLargeCapBlend"
2001,-0.0860291780628649,0.00761664157933328,0.0087347284049446,-0.0798671202209866,-0.0330008655210164,-0.129399395806222,-0.132905684368,0.000184428675296333,-0.122860635694444,-0.03715577803,-0.084,-0.0654835752041271,-0.1638059366448,-0.128658067018632,0.0512322764497217,0.0260430255040522,-0.0441821536308267,-0.0496280760189119,-0.193882050272219,-0.211517184287857,0.00510974493858329,-0.179925819388306,-0.240506533310493,0.280817042098589,-0.0771963993532503,-0.18922647300567
2002,-0.03416910005522,0.0454053745801364,0.0188319751771335,0.188995775943511,-0.00925817063217338,-0.0688261981237885,-0.0986374494064856,-0.00583436049480635,-0.086071334027597,-0.167456685428059,0.739158520594905,-0.0125920436658536,-0.0449605140557284,-0.102348730255999,0.0484755076568442,0.00628830798043412,-0.0865670343012947,0.0263339398862728,-0.214308795387978,-0.224901468834215,0.137147702346367,-0.173003851496488,-0.147612432102962,-0.114105328565445,-0.0395894529010759,-0.254998185276973
2003,-0.142977832559591,0.0499367239458728,0.00549511242697265,-0.255579792659117,0.0248555324054924,-0.308835123978411,-0.271413138324992,0.174185201692747,-0.188965882447903,-0.270087256663431,-0.395894301648014,-0.0593780889590273,-0.270859666409603,0.278849862650093,0.00599106058093835,0.00227266833691719,0.426566322782031,0.159814401949208,0.288767952862799,0.283395675502719,0.10268963207793,0.446161826900728,0.373628929414684,0.217123753401553,0.213609889158765,0.246551195685978
2004,0.383681942907742,0.0111994212418962,0.00136003317277678,0.608245206250212,0.193865535734287,0.459269025300986,0.417587536813488,0.0921459619399661,0.569323846498591,0.750948203445547,0.516505548149579,0.277366034615951,0.311030059270916,0.129185835856742,0.0131531008910388,-0.000303857716417721,0.0849766375246965,0.074400898798892,0.149804421530229,0.126614703686959,0.0667264616903736,0.185523964512621,0.132458737959143,-0.0253489054724599,0.103684509403744,0.0769782189678365
2005,0.0742802659383957,-0.030554475921565,-0.000364557500388329,0.04596413276717,0.0319837906872322,0.156802006208424,0.0765836749683615,0.0273227160170109,0.109369433107981,-0.00919386885072015,-0.0215904156413226,0.0547688827676485,0.0413662509424182,0.0999536437399215,-0.0287229513531594,0.0123093323096961,0.250701387077386,0.0182559431405174,0.106752602166968,0.123426111480089,-0.0573965931734582,0.096106343838503,0.349985180801955,0.665249145678851,0.0505923281934206,0.0430847092899813
2006,0.188421718019626,-0.000569659294588076,0.0193344282160124,0.34002215708807,0.0601852952967115,0.237766221777652,0.220909077166235,-0.0388485136367472,0.273789825032913,0.450579141972415,0.695181120784339,0.110676251637972,0.0992252688242277,0.214716648764383,0.0367570570027957,0.0304744247910831,0.289916816771944,0.101886986107331,0.2880605338377,0.199236932651747,0.0330482888314732,0.449607935484642,0.0348481219195385,0.209799860083349,0.151731389141647,0.121347387222434
2007,0.159199391010947,0.0388049422233199,0.0306029332929187,0.234752410379537,0.0922943259539288,0.171800684186924,0.152261106964173,0.0497493989316729,0.324118808192502,-0.0318835423277527,0.0979143790813128,0.124466686853453,0.0933614318639315,0.203586452863552,0.036345910187995,0.0299823133289732,0.329028908506391,0.109934436789331,0.0499552843884654,0.132356358552509,0.063669719192671,0.501846522834437,-0.104571774861944,0.484168658767648,0.15359938663429,0.0398264952675018
2008,0.062987039759417,0.071811205710135,0.0273559312788638,0.105711757751074,0.0809046769753734,-0.0944624914956965,-0.0357854676772341,0.111126439981119,0.162903029907026,-0.219458577624192,0.329150445698411,0.0800018355684087,-0.0782439136126499,-0.357747085055614,0.0696113102033706,0.0111793277293841,-0.494532705675151,-0.124018896574092,-0.44960338013956,-0.425998543791649,0.0208418561790107,-0.491483494443154,-0.367386423053077,-0.515940109517945,-0.235195365758884,-0.387719668246584
2009,-0.330953385599345,0.0224453131251592,0.00699562617523308,-0.419566864706737,-0.142492543133382,-0.45611075944919,-0.404932667964065,-0.069353894877267,-0.369614168141784,-0.390850757628372,-0.44805868498793,-0.235797977358483,-0.378925929843845,0.309173810657871,-0.0129711519455761,0.00104356396990068,0.606147466934418,0.123129230362496,0.273896155103102,0.302733062817996,0.051035318192092,0.609192052130817,0.0394872810532558,0.495638266715202,0.210970138328217,0.256529004070397
2010,0.400700565188064,0.0174274900848113,0.000949584230628187,0.615748582326712,0.163469697877161,0.439819728622113,0.454299393216781,0.0913810353491609,0.599109690932226,0.299735716565339,0.502763285579897,0.276076425544183,0.452200719453297,0.0972640872273274,0.0277608078866445,0.000217448365235073,0.155798446719946,0.0528334534275265,0.0216943318084117,0.0848291644874895,0.0419356566724303,0.109979472986058,0.0542237453974321,0.173559286989432,0.0775510400638382,0.117625885296353
