time,BTC,DBC - commodities,GLD - gold,IEF - intermediate bonds,SPY - stocks,SVXY,TLT - long term bonds
5/12/2014,376.8540039,17.05247879,114.4300003,81.90396881,171.3078613,78.54000092,88.93827057
8/12/2014,361.9089966,16.75657463,115.7799988,82.17671967,170.1630249,75.41999817,90.02529144
9/12/2014,352.2189941,16.87493324,118.1900024,82.48065948,170.0477295,74.48000336,90.48802948
10/12/2014,346.3649902,16.61284828,117.9599991,82.85469818,167.3216553,66.83999634,91.14904022
11/12/2014,350.506012,16.46066856,117.6900024,82.71443176,168.1699677,62.56000137,91.52361298
12/12/2014,352.5419922,16.3253994,117.4100037,83.39245605,165.4520416,59,92.76493073
15/12/2014,345.3450012,16.06331444,114.3899994,83.08849335,164.315506,60.36000061,92.57397461
16/12/2014,327.0620117,15.97031689,114.9499969,83.50932312,162.9977417,57.56999969,93.71976471
17/12/2014,319.776001,16.06331444,114.2699966,82.93267059,166.1933289,62.83000183,92.87511444
18/12/2014,311.3959961,16.0125885,115.1500015,82.46511078,170.3030396,64.84999847,91.22252655
19/12/2014,317.8429871,16.24930763,114.7699966,82.76902008,171.0276642,65.31999969,92.44911194
22/12/2014,331.8859863,15.95340729,112.5500031,82.76902008,171.8143921,68.5,92.57397461
23/12/2014,334.571991,16.11404228,112.7399979,82.08322906,172.0463104,68.37000275,90.73776245
24/12/2014,322.5339966,15.90267849,112.7699966,82.14253235,172.062851,68.87999725,91.23162079
26/12/2014,327.9240112,15.88577461,114.8300018,82.25179291,172.6176758,68.22000122,91.57020569
29/12/2014,312.6700134,15.73359585,113.6699982,82.53273773,172.8495789,68.33000183,92.25470734
30/12/2014,310.7369995,15.71668434,115.1999969,82.62641144,171.9220886,66.62999725,92.50498199
31/12/2014,320.1929932,15.59832382,113.5800018,82.72008514,170.2161102,61.15999985,92.68161011
2/1/2015,315.0320129,15.41232586,114.0800018,83.14147949,170.1249237,62.27000046,93.71207428
5/1/2015,274.473999,15.19251251,115.8000031,83.64885712,167.052597,57.95999908,95.18416595
6/1/2015,286.1889954,15.04878807,117.1200027,84.21071625,165.4791412,56.47999954,96.89911652
7/1/2015,294.3370056,14.95579052,116.4300003,84.19509125,167.5412445,58.31999969,96.70772552
8/1/2015,283.348999,15.01497078,115.9400024,83.85176086,170.5141907,61.93999863,95.42703247
9/1/2015,290.4079895,14.98960781,117.2600021,84.26535797,169.1477966,59.65999985,96.47219849
12/1/2015,267.79599,14.65988922,118.5599976,84.56193542,167.8227386,56.75999832,97.02426147
13/1/2015,225.8609924,14.60070705,118.1600037,84.63996124,167.350769,55.11999893,97.02426147
14/1/2015,178.1029968,14.76133919,117.9700012,85.0302124,166.3403931,54.09999847,97.76026917
15/1/2015,209.8439941,14.55843544,120.9400024,85.75601959,164.8166046,52.47999954,99.29859161
16/1/2015,208.0970001,14.83742714,122.5199966,85.12382507,166.9780273,53.41999817,98.03264618
20/1/2015,211.3150024,14.63452435,124.1999969,85.31895447,167.3341675,53.91999817,99.33544922
21/1/2015,226.8970032,14.7275238,124.2300034,84.9131546,168.1788635,56.49000168,98.18721008
22/1/2015,233.4060059,14.71061325,125.2300034,84.70241547,170.6798706,60.16999817,97.83384705
23/1/2015,232.8789978,14.61761761,124.2300034,85.25653076,169.7440491,58.59999847,99.19554138
26/1/2015,273.4729919,14.56688976,122.9899979,85.06143188,170.1415405,61.22999954,98.89376068
27/1/2015,263.4750061,14.64297867,124.4000015,85.17844391,167.8973083,58.29999924,99.04833984
28/1/2015,233.9149933,14.43162155,123.4199982,85.83405304,165.7440796,53.25999832,100.6676331
29/1/2015,233.5130005,14.36398411,120.7600021,85.52968597,167.2761993,54.52000046,100.0052109
30/1/2015,226.4250031,14.71061325,123.4499969,86.27891541,165.1726837,48.84999847,101.7790222
2/2/2015,238.2290039,14.91351795,122.4199982,86.1710434,167.2182159,51.86999893,101.3947906
3/2/2015,227.2680054,15.32778358,121.0500031,85.44405365,169.6364136,54.38000107,99.24860382
4/2/2015,226.8529968,14.98960781,121.5800018,85.58475494,168.990448,52.81000137,99.41819
5/2/2015,217.1109924,15.19251251,121.7900009,85.27205658,170.6963806,54.61999893,98.32669067
6/2/2015,222.2660065,15.23478603,118.6399994,84.31832123,170.22435,52.31999969,96.58611298
9/2/2015,220.1100006,15.3869648,119.1699982,84.27926636,169.4624939,52.06000137,96.43123627
10/2/2015,219.8390045,15.19251251,118.4700012,84.06816864,171.2678375,54.00999832,95.66421509
11/2/2015,219.1849976,15.07415295,117.0699997,84.03691864,171.3672333,53.63000107,95.84120941
12/2/2015,221.7640076,15.30242062,117.3399963,84.06816864,173.015213,57.00999832,95.524086
13/2/2015,235.427002,15.47150707,117.9800034,83.78676605,173.7273712,57.74000168,94.54315948
17/2/2015,243.6100006,15.4799614,116.0100021,83.19261169,174.0006714,57.56000137,93.11977386
18/2/2015,236.326004,15.29396439,116.3399963,83.59131622,174.0172424,57.95000076,93.67286682
19/2/2015,240.2830048,15.2432394,115.9400024,83.38024139,173.8930359,59.38999939,93.05336761
20/2/2015,243.779007,15.18405819,115.2799988,83.3332901,174.9365082,61.41999817,93.32624817
23/2/2015,238.8919983,15.08260822,115.4300003,83.71640015,174.9116211,61.11999893,94.39567566
24/2/2015,238.7350006,15.09106159,115.2600021,84.2714386,175.4085846,63.72000122,95.63476563
25/2/2015,237.4700012,15.31933117,115.6999969,84.34960175,175.259552,63.22000122,96.04771423
26/2/2015,236.4259949,15.19251251,116.0699997,83.84925842,175.0523987,63.93000031,94.73493195
27/2/2015,253.8280029,15.36160088,116.1600037,84.14632416,174.4561462,64.33000183,95.53144836
2/3/2015,275.6700134,15.14178658,115.6800003,83.51994324,175.5575562,66.45999908,93.75201416
3/3/2015,281.7019958,15.23478603,115.4700012,83.33984375,174.8371124,64.98000336,93.41212463
4/3/2015,273.0920105,15.09951687,115.1100006,83.40252686,174.1000824,65.13999939,93.44166565
5/3/2015,276.178009,15.04033661,115,83.44948578,174.2905273,65.93000031,93.32337952
6/3/2015,272.7229919,14.85433865,111.8600006,82.59604645,171.8392944,62.97999954,91.26177979
9/3/2015,289.6069946,14.81206703,111.9700012,82.97972107,172.5514374,63.88000107,92.10411835
10/3/2015,291.7600098,14.61761761,111.4199982,83.33206177,169.7523346,61.79999924,93.31606293
11/3/2015,296.3789978,14.69370461,110.75,83.48081207,169.3548737,60.25999832,93.99591064
12/3/2015,294.3540039,14.62606907,110.7200012,83.55912018,171.5079498,63.84000015,93.92935944
13/3/2015,285.3370056,14.33016682,110.8799973,83.43386841,170.4562073,62.38000107,93.64118958
16/3/2015,290.5929871,14.31325912,110.8099976,83.723526,172.7336731,63.86000061,94.54267883
17/3/2015,285.5050049,14.21180439,110.2099991,83.89583588,172.2202148,64.16999817,95.3260498
